Taxon,longitude,latitude
Spiraea_hypericifolia_subsp._hypericifolia,107.005556,51.516389
Spiraea_hypericifolia_subsp._hypericifolia,116.585693,51.977058
Spiraea_hypericifolia_subsp._hypericifolia,114.8393,50.8228
Spiraea_hypericifolia_subsp._hypericifolia,102.83529,49.368932
Spiraea_hypericifolia_subsp._hypericifolia,106.91036,48.409035
Spiraea_hypericifolia_subsp._hypericifolia,106.398223,51.195678
Spiraea_hypericifolia_subsp._hypericifolia,114.6789,50.6842
Spiraea_hypericifolia_subsp._hypericifolia,108.06086,51.536606
Spiraea_hypericifolia_subsp._hypericifolia,109.596935,51.641021
Spiraea_hypericifolia_subsp._hypericifolia,114.8,50.833333
Spiraea_hypericifolia_subsp._hypericifolia,109.0746,42.7206
Spiraea_hypericifolia_subsp._hypericifolia,101.953125,47.566797
Spiraea_hypericifolia_subsp._hypericifolia,106.483,48.55
Spiraea_hypericifolia_subsp._hypericifolia,107.3,49.083
Spiraea_hypericifolia_subsp._hypericifolia,106.75,48.917
Spiraea_hypericifolia_subsp._hypericifolia,103.22187,34.055939
Spiraea_hypericifolia_subsp._hypericifolia,111.179657,37.357058
Spiraea_hypericifolia_subsp._hypericifolia,119.943575,47.17744
Spiraea_hypericifolia_subsp._hypericifolia,110.060514,41.034106
Spiraea_hypericifolia_subsp._hypericifolia,115.99247,42.241638
Spiraea_hypericifolia_subsp._hypericifolia,105.703948,38.864526
Spiraea_hypericifolia_subsp._hypericifolia,111.451303,41.096471
Spiraea_hypericifolia_subsp._hypericifolia,112.577528,40.894692
Spiraea_hypericifolia_subsp._hypericifolia,112.503971,40.531555
Spiraea_hypericifolia_subsp._hypericifolia,111.834888,40.378694
Spiraea_hypericifolia_subsp._hypericifolia,116.048222,43.933454
Spiraea_hypericifolia_subsp._hypericifolia,111.181151,36.982186
Spiraea_hypericifolia_subsp._hypericifolia,119.755213,49.146588
Spiraea_hypericifolia_subsp._hypericifolia,119.37949,43.971126
Spiraea_hypericifolia_subsp._hypericifolia,105.728969,38.851892
Spiraea_hypericifolia_subsp._hypericifolia,105.053358,35.692823
Spiraea_hypericifolia_subsp._hypericifolia,116.485556,42.203591
Spiraea_hypericifolia_subsp._hypericifolia,108.793988,37.599438
Spiraea_hypericifolia_subsp._hypericifolia,111.846905,38.910726
Spiraea_hypericifolia_subsp._hypericifolia,111.127668,38.46239
Spiraea_hypericifolia_subsp._hypericifolia,108.768432,36.822194
Spiraea_hypericifolia_subsp._hypericifolia,109.489727,36.585455
Spiraea_hypericifolia_subsp._hypericifolia,109.329236,36.864571
